model,protocol,MAE,RMSE,MAPE,medAPE,range_km_MAE,n_test,variant,n_features,seed
physics_only,L1,30.3818041728323,46.39564005705279,22.905480561589993,17.45917501214272,33.46766451367807,491,minus_traffic,13,0
ridge,L1,25.0397658805724,34.10300391628025,21.141966704293978,13.766488756124723,28.84767446245524,491,minus_traffic,13,0
random_forest,L1,25.350567307187042,35.92790257301186,21.93773359257861,13.447147811325891,29.280585922814268,491,minus_traffic,13,0
gbm,L1,23.339723574409522,34.369001271133335,19.78997333106169,12.016495861716995,26.502858380340903,491,minus_traffic,13,0
hybrid_physics_ml,L1,19.330204069810918,31.444278884976296,14.741317366541725,10.968953413702973,21.82221576614453,491,minus_traffic,13,0
rated_range,L1,59.967936288680534,71.7298740700256,50.54186053191495,34.58040997583278,43.186621027294734,593,full,15,1
physics_only,L1,35.56076390062183,46.83127932150473,22.233412250665033,20.875703715095522,32.1085903068118,593,full,15,1
ridge,L1,24.73097538189086,31.749683877156265,17.240683514654158,13.181986810132615,22.541889286188685,593,full,15,1
random_forest,L1,24.76771419380392,33.44651107866198,17.561037766274975,12.502387539307472,22.415585066927274,593,full,15,1
gbm,L1,22.612247091793492,30.809227355718075,15.860313166627543,11.425083549637598,20.15101858206922,593,full,15,1
hybrid_physics_ml,L1,18.451844607066263,26.214471744281454,12.4806412037391,9.071001971054512,16.895731363695713,593,full,15,1
rated_range,L1,59.967936288680534,71.7298740700256,50.54186053191495,34.58040997583278,43.186621027294734,593,minus_route,7,1
physics_only,L1,35.56076390062183,46.83127932150473,22.233412250665033,20.875703715095522,32.1085903068118,593,minus_route,7,1
ridge,L1,26.078607365424375,34.51662736585224,19.315225735921747,13.420858879538622,26.12825808594682,593,minus_route,7,1
random_forest,L1,28.82076306774273,37.56364582433472,21.56902562849746,15.503723534073075,27.698636538014778,593,minus_route,7,1
gbm,L1,29.11394223240961,38.133954827677606,21.7624762286145,15.337091056518801,28.207913189068215,593,minus_route,7,1
hybrid_physics_ml,L1,25.639603751068446,35.451764532152744,18.570173191761295,12.854278921643155,25.480841287346273,593,minus_route,7,1
rated_range,L1,59.967936288680534,71.7298740700256,50.54186053191495,34.58040997583278,43.186621027294734,593,minus_weather,14,1
physics_only,L1,35.56076390062183,46.83127932150473,22.233412250665033,20.875703715095522,32.1085903068118,593,minus_weather,14,1
ridge,L1,26.25848461272176,33.33474751454203,18.58693328197356,14.787884653437821,24.144424728992984,593,minus_weather,14,1
random_forest,L1,25.255444759991967,34.30560941895567,17.9902937884332,12.513141843289446,23.037162734658725,593,minus_weather,14,1
gbm,L1,24.085266405258455,32.850848995950486,17.07188746794915,12.264136075618042,21.39423387515699,593,minus_weather,14,1
hybrid_physics_ml,L1,19.54868324718853,27.64497155804525,13.204232974531733,9.5000461075926,17.728490109307177,593,minus_weather,14,1
rated_range,L1,59.967936288680534,71.7298740700256,50.54186053191495,34.58040997583278,43.186621027294734,593,minus_state,11,1
physics_only,L1,35.56076390062183,46.83127932150473,22.233412250665033,20.875703715095522,32.1085903068118,593,minus_state,11,1
ridge,L1,34.69471200498449,45.5058654582444,24.139330945037212,17.560632685636158,30.88076402230654,593,minus_state,11,1
random_forest,L1,27.059961017790705,36.98860981093677,19.366890667639815,13.197286802255848,23.46092874013907,593,minus_state,11,1
